"NUMBER","INETSHORTD"
"BALECROC            ","Dive into the mystical world of Aleister Crowley with this exclusive box set featuring five of his most influential works. Perfect for anyone curious about the occult and esoteric traditions, this collection showcases Crowley's unique ideas and practices that have inspired countless seekers of spiritual knowledge. Whether you're a seasoned practitioner or just starting your journey, this set is a must-have for exploring the depths of Crowley's thought and philosophy. Uncover the secrets of the universe and elevate your spiritual practice with these timeless writings."
"BANCEGY             ","This new edition of Ancient Egyptian Magic takes you step-by step through Egyptian religions, magical philosophy, techniques of divination, and magical formulae thousands of years old. No previous experience with the subject is necessary, Harris explains the ""how"" and ""why"" of magical tools, amulets, words of power, divination, ceremony, and spells. Advanced practitioners will find especially useful instruction on actual Egyptian magical script as found in the ancient papyri such as The Leyden Papyrus, The Papyrus Ani (the Egyptian Book of the Dead), and other important works."
"BANCEGYM            ","Rituals, prayers, and songs to bring the wisdom of the gods and goddesses of ancient Egypt to life. Based on Ellen Cannon Reed's twenty-five years of work with deities of ancient Egypt, this book brings an ancient tradition to modern pagan practice. With it, readers will have the tools to continue learning and developing their own methods of honoring the gods and goddesses of ancient Egypt. Over two dozen gods and goddesses are highlighted, including Osiris, Isis, Ra, Bast, Thoth, Sekhmet, and Tefnut. There is also a section devoted to glyphs. Finally, meditations and techniques bring these deities to life, enriching your spiritual path. A 9"" x 6"" Paperback book with 288 pages."
"BANGNUM             ","If you're seeing repeated or significant number sequences throughout your day, then angels may be sending you advice and encouragement. With this book, you will learn to decode these celestial numerical messages to embody their meaning and use them to enrich our spiritual path. Engage the magic of the divine and maximize your potential with Angel Numbers. A 4.65"" x 5.55"" hardcover book with 160 pages."
"BAPPFOL             ","Ossman & Steel’s Guide to Health or Household Instructor (its original title) is a collection of spells, remedies, and charms. The book draws from the old Pennsylvania Dutch and German powwow healing practices that in turn helped shape Appalachian folk healing, conjure, rootwork, and many folk healing traditions in America. Jake Richards, author of Backwoods Witchcraft and Doctoring the Devil, puts these remedies in context, with practical advice for modern-day “backwoods” healers interested to use them today. A 5.3"" x 8.02"" paperback book with 152 pages."
"BARCINV             ","As beings of pure light who possess great influence, archangels can help you achieve your goals and develop a closer relationship with the Divine. Drawing from multiple spiritual paths, bestselling author Richard Webster introduces you to the four most-recognized archangels-Michael, Raphael, Gabriel, and Uriel-as well as numerous lesser-known angels who are rarely featured in other books. You will also learn simple meditations and rituals to help you communicate and work with them for protection, guidance, and wisdom. This concise and conversational guide describes the hierarchy of angels and the unique responsibilities for each one. With detailed information on correspondences for each archangel, including crystal, essential oil, element, zodiac sign, and chakra, you'll discover which ones to connect with and how they can support you. Featuring affirmations, invocations, dream work, and more, this book makes it easy to seek angelic assistance and enjoy a life filled with peace, harmony, and divine love. 5.5"" x 8.25"" Paperback book with 280 pages."
"BARTHOOC            ","Within these pages you will find a treasure-trove of accurate, traditional, and easy-to-follow instructions that teach you how to work with candles and lamps in hoodoo folk magic and Spiritual Church services. Learn about Down-home Candle Magic for the Private Practitioner. A paperback book with 96 pages"
"BARTMAKM            ","Within these pages you will find a treasure-trove of accurate, authentic, and easy-to-follow instructions that teach you how to craft and work with Conjure Hands, Trick Bags, Tobies, Gree-Grees, Jomos, Jacks, and Nation Sacks in the hoodoo folk magic tradition. A paperback book with 96 pages."
"BARTPRASH           ","This guide to harnessing the power of plants is a practical tool for working through the symptoms of body disease and the underlying emotional and spiritual issues. Organized by major body systems such circulatory, digestive, and reproductive, The Art & Practice of Spiritual Herbalism gives a brief overview of the physical mechanisms of the system, the spiritual correspondences associated with that system, and the plants, remedies, and rituals that can be used to bring oneself back to healing and balance. Filled with stories, ancestral recipes, and accessible practices that anyone can use, The Art &amp; Practice of Spiritual Herbalism shows you how to use the power of plants for spiritual and physical healing. A 7.5"" x 9.25"" paperback book with 208 pages."
"BARTWIT             ","The Art of Witch moves beyond bells, whistles, tools and potions, and enters a new era of spiritual mastery for the modern age. Fiona Horne bypasses the old-school rules and traditions and shows you how to learn and grow with the times. This is the guide for the structure-less, and rule book for the revolutionaries. New ways are embraced with the old; what it really means to be a modern Witch is revealed; how to practice authentic Witchcraft now to live a deeply fulfilled life ."
"BASTGUI             ","This step-by-step guide will help you understand your birth chart, breaking down each house, sign, planet, and placement in its simplest terms. Use the guided writing prompts to record your thoughts, feelings, and observations to truly understand how these placements show up in your life. Whether you know your birth chart by heart, or barely understand your sun sign, this workbook will give you the tools you need to unlock your full potential. It's written in the stars! 6.35"" x 8.25"" Paperback book with 192 pages."
